index,PRODUCT_NAME,BRAND,CATEGORY,PRICE_CURRENT,DEDUCED_TYPE
269008,Zespri SunGold Fresh Kiwi Fruit,PRODUCE UNBRANDED,Fresh Food,8.98,http://dbpedia.org/resource/DJ_Fresh
269025,Fresh Raspberries,Produce Unbranded,Fresh Food,3.96,http://dbpedia.org/resource/DJ_Fresh
269042,Savory Garlic Knots,Marketside,Fresh Food,2.98,http://dbpedia.org/resource/DJ_Fresh
269059,Brioche Slider Rolls,Marketside,Fresh Food,4.48,http://dbpedia.org/resource/DJ_Fresh
269076,Soft'ees Variety Pack Donuts,Entenmann's,Sweet Treats,4.48,http://dbpedia.org/resource/The_Sweet
269093,Original Glazed Doughnut Bites,Krispy Kreme,Sweet Treats,4.14,http://dbpedia.org/resource/The_Sweet
269110,Hass Avocados,PRODUCE UNBRANDED,Fresh Food,0.88,http://dbpedia.org/resource/DJ_Fresh
269127,Navel Oranges,PRODUCE UNBRANDED,Fresh Food,0.93,http://dbpedia.org/resource/DJ_Fresh
269144,HOSTESS Crunch DONETTES Donuts Single Serve,Hostess,Sweet Treats,1.28,http://dbpedia.org/resource/The_Sweet
269161,Glazed Donuts,Freshness Guaranteed,Sweet Treats,4.92,http://dbpedia.org/resource/The_Sweet
269178,Cantaloupe Chunks,Freshness Guaranteed,Fresh Food,3.97,http://dbpedia.org/resource/DJ_Fresh
269195,Fresh Black Seedless Grapes,PRODUCE UNBRANDED,Fresh Food,4.46,http://dbpedia.org/resource/DJ_Fresh
269212,Cosmic Apples 3 Lb Bag,Fresh Produce,Fresh Food,6.48,http://dbpedia.org/resource/DJ_Fresh
269229,Everything French Bread,Freshness Guaranteed,Fresh Food,1.78,http://dbpedia.org/resource/DJ_Fresh
269246,Pumpernickel Rye Loaf,Freshness Guaranteed,Fresh Food,3.62,http://dbpedia.org/resource/DJ_Fresh
269263,Guacamole,Freshness Guaranteed,Fresh Food,3.14,http://dbpedia.org/resource/DJ_Fresh
269280,WHOLLY Avocado Chunky Mini Single Serve Cups,WHOLLY GUACAMOLE,Fresh Food,5.63,http://dbpedia.org/resource/DJ_Fresh
269297,Freshness Guaranteed Bratwurst Buns,The Bakery,Fresh Food,2.42,http://dbpedia.org/resource/DJ_Fresh
269314,Sunripe Candied Red Cherries Drink,V.I.P.,Fresh Food,5.96,http://dbpedia.org/resource/DJ_Fresh
269331,Large Cage Free Brown Eggs,Marketside,Dairy & Eggs,4.98,http://dbpedia.org/resource/Dairy
269348,HORMELBLACK LABELEgg Bites with Bacon and three cheeses,Hormel,Dairy & Eggs,2.98,http://dbpedia.org/resource/Dairy
269365,Limes,PRODUCE UNBRANDED,Fresh Food,0.38,http://dbpedia.org/resource/DJ_Fresh
269382,Freshness Guaranteed Watermelon,Del Monte,Fresh Food,3.24,http://dbpedia.org/resource/DJ_Fresh
269399,Lemons,PRODUCE UNBRANDED,Fresh Food,3.98,http://dbpedia.org/resource/DJ_Fresh
269416,Fuji Apples,PRODUCE UNBRANDED,Fresh Food,1.42,http://dbpedia.org/resource/DJ_Fresh
269433,Freshness Guaranteed Red Delicious Apples,PRODUCE UNBRANDED,Fresh Food,6.72,http://dbpedia.org/resource/DJ_Fresh
269450,Sesame Seed Italian Loaf,Freshness Guaranteed,Fresh Food,1.78,http://dbpedia.org/resource/DJ_Fresh
269467,Hamburger Rolls,Freshness Guaranteed,Fresh Food,2.42,http://dbpedia.org/resource/DJ_Fresh
269484,Large Cage Free Brown Eggs,Marketside,Dairy & Eggs,3.42,http://dbpedia.org/resource/Dairy
269501,Cage Free 100% Liquid Egg Whites,Great Value,Dairy & Eggs,4.68,http://dbpedia.org/resource/Dairy
269518,Chocolate Chip Brioche Rolls,Marketside,Fresh Food,4.48,http://dbpedia.org/resource/DJ_Fresh
269535,Italian Garlic Herb Bread,Bakery Component,Fresh Food,1.78,http://dbpedia.org/resource/DJ_Fresh
269552,White Kaiser Rolls,Freshness Guaranteed,Fresh Food,3.48,http://dbpedia.org/resource/DJ_Fresh
269569,Yeasty Dinner Rolls,Freshness Guaranteed,Fresh Food,3.24,http://dbpedia.org/resource/DJ_Fresh
269586,Garlic Herb French Bread,Freshness Guaranteed,Fresh Food,1.78,http://dbpedia.org/resource/DJ_Fresh
269603,Freshness Guaranteed French Steak Rolls,The Bakery,Fresh Food,4.68,http://dbpedia.org/resource/DJ_Fresh
269620,Vanilla Brioche Bread,Marketside,Fresh Food,4.48,http://dbpedia.org/resource/DJ_Fresh
269637,Wheat Bolillo Rolls,Freshness Guaranteed,Fresh Food,0.84,http://dbpedia.org/resource/DJ_Fresh
269654,100% Liquid Egg Whites 32 oz,Great Value,Dairy & Eggs,4.14,http://dbpedia.org/resource/Dairy
269671,,JUST Egg,Dairy & Eggs,3.94,http://dbpedia.org/resource/Dairy
269688,Zespri SunGold Fresh Kiwi Fruit,PRODUCE UNBRANDED,Fresh Food,8.98,http://dbpedia.org/resource/DJ_Fresh
269705,All Natural Mandarin Oranges in Light Syrup,Dole,Fresh Food,1.92,http://dbpedia.org/resource/DJ_Fresh
269722,Large Cage Free Brown Eggs,Marketside,Dairy & Eggs,3.42,http://dbpedia.org/resource/Dairy
269739,Meat Lovers Egg Bites,Jimmy Dean,Dairy & Eggs,2.82,http://dbpedia.org/resource/Dairy
269756,Freshness Guaranteed Gala Apples,PRODUCE UNBRANDED,Fresh Food,4.68,http://dbpedia.org/resource/DJ_Fresh
269773,Mango,Freshness Guaranteed,Fresh Food,5.48,http://dbpedia.org/resource/DJ_Fresh
269790,Italian Garlic Herb Bread,Bakery Component,Fresh Food,1.78,http://dbpedia.org/resource/DJ_Fresh
269807,White Kaiser Rolls,Freshness Guaranteed,Fresh Food,3.48,http://dbpedia.org/resource/DJ_Fresh
269824,Wheat Sub Rolls,Freshness Guaranteed,Fresh Food,3.48,http://dbpedia.org/resource/DJ_Fresh
269841,Bartlett Pears,PRODUCE UNBRANDED,Fresh Food,1.48,http://dbpedia.org/resource/DJ_Fresh
269858,Freshness Guaranteed Honeycrisp Apples,PRODUCE UNBRANDED,Fresh Food,7.23,http://dbpedia.org/resource/DJ_Fresh
269875,Red Apple Slices,Freshness Guaranteed,Fresh Food,3.67,http://dbpedia.org/resource/DJ_Fresh
269892,Red Grapefruit FRUIT CUP Snacks,Del Monte,Fresh Food,1.48,http://dbpedia.org/resource/DJ_Fresh
269909,Red Grapefruit,PRODUCE UNBRANDED,Fresh Food,5.92,http://dbpedia.org/resource/DJ_Fresh
269926,Bosc Pears,PRODUCE UNBRANDED,Fresh Food,1.05,http://dbpedia.org/resource/DJ_Fresh
269943,Papaya,PRODUCE UNBRANDED,Fresh Food,3.19,http://dbpedia.org/resource/DJ_Fresh
269960,Large Bagged Avocados,PRODUCE UNBRANDED,Fresh Food,3.98,http://dbpedia.org/resource/DJ_Fresh
269977,Chunky Avocado,Freshness Guaranteed,Fresh Food,3.14,http://dbpedia.org/resource/DJ_Fresh
